"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"312","sp|P49443|PPM1A_MOUSE Protein phosphatase 1A OS=Mus musculus OX=10090 GN=Ppm1a PE=1 SV=1","sp|P49443|PPM1A_MOUSE","42 kDa",12,0.999860209,0,17860730,21757660,20713100,38306120,32607790,30964240,46200240,22460770,20736420,12221990,15823920,24548110,21830950,16790800,20139560,20949550,19988920,15754160,18880680,20833660,14588850,21841380,17350750,22338300,21886350,22070320,20292510,16344770,19963000,17464990,17705740,19917200,18046840,16145060,21115720,16489660
"313","sp|Q9CQ69|QCR8_MOUSE Cytochrome b-c1 complex subunit 8 OS=Mus musculus OX=10090 GN=Uqcrq PE=1 SV=3","sp|Q9CQ69|QCR8_MOUSE","10 kDa",5,0.999859731,0,107413400,110909000,80927710,176146300,141535200,64376490,138243300,111603100,106431900,39022860,68665800,128319200,120773400,59487670,86791950,114957000,104768900,58431350,118649100,111967100,71902080,138327400,132656400,93677820,120751900,105485900,77490060,98791160,91031920,68115840,97506640,96371630,73608200,114226500,109644700,89386320
"314","sp|P14152|MDHC_MOUSE Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3","sp|P14152|MDHC_MOUSE","37 kDa",17,0.999859674,0,7365347000,6914546000,5622845000,16257790000,12623400000,12242140000,17637080000,8603728000,8294475000,3837297000,5627317000,8716860000,8634294000,4471592000,5975901000,7233497000,7626180000,4591362000,7479668000,7385365000,4879159000,8386802000,8458434000,5323406000,7589943000,6954686000,5003985000,6286108000,5791431000,4344411000,6080554000,5555417000,4411135000,6943394000,6216743000,4768994000
"315","sp|O70468|MYPC3_MOUSE Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1","sp|O70468|MYPC3_MOUSE","141 kDa",53,0.999859641,0,369796400,381597000,339337600,750530100,595992600,517567900,841375200,373815700,362384600,201976400,277646900,540030200,510670000,346205800,386533200,747598900,800929000,609150000,456510200,456599500,366948200,312377300,281287900,263324500,339414400,329855600,291917100,250355800,277709700,235405000,228282600,226375200,200670500,326841800,343617800,305807300
"316","sp|P46938|YAP1_MOUSE Transcriptional coactivator YAP1 OS=Mus musculus OX=10090 GN=Yap1 PE=1 SV=2","sp|P46938|YAP1_MOUSE","52 kDa",5,0.999859608,0,3601285,4944651,3598104,13337950,9629198,10912390,15811420,6504856,5277924,2903381,3926047,5925976,5764552,3859276,4866666,5945019,6124152,4295651,4626268,4629301,4008207,5275404,7122626,5547901,4564757,4384635,4620673,882931.8,3179619,2807270,4053147,3054798,2272984,3969260,3695135,5037789
"317","sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1","sp|A2AJI0|MA7D1_MOUSE","93 kDa",5,0.999859462,0,3821727,4225915,4997386,7087327,6367891,6885144,7791723,4099829,4359879,2416121,2850796,5543608,5132896,3901926,4337724,5313094,5104581,4383730,4097566,4981214,4618452,4747360,4476303,5178987,4198412,4302250,4377737,3943518,4039770,3564782,3265889,3262735,3194477,3709517,4065538,3823973
"318","sp|Q91WK2|EIF3H_MOUSE Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus OX=10090 GN=Eif3h PE=1 SV=1","sp|Q91WK2|EIF3H_MOUSE","40 kDa",5,0.999858891,0,1681314,1793464,1597364,3314610,2069791,2764594,4111600,1841491,2248318,2142210,1094576,2338444,1802972,1632022,2995445,1800508,2503344,1788061,1880798,1721062,2521653,1517878,1331269,2112574,1726437,1803410,1960613,955510.7,1916374,1644894,1563475,1512418,2807655,1432589,1574970,2523306
"319","sp|Q99J39|DCMC_MOUSE Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Mlycd PE=1 SV=1","sp|Q99J39|DCMC_MOUSE","55 kDa",16,0.999858854,0,27344030,29209310,24472240,42609510,31726100,21547410,42248340,22154230,21235270,11402460,14226380,28011150,25442070,19017960,20187420,22787970,23701160,20030270,23784640,23317810,20448990,43790440,42298330,39330880,30441310,28914190,28265820,23809090,27478620,25349160,25653960,23388810,23859700,32955880,31405410,33121110
"320","sp|O09061|PSB1_MOUSE Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1","sp|O09061|PSB1_MOUSE","26 kDa",6,0.99985865,0,56734550,51706860,44357680,79103510,67130450,44637040,74943000,61010040,55831050,29599600,42826770,63472850,61530390,36170050,41108370,54654280,59927220,38066170,55195700,54548650,39903130,59731460,63487480,45391730,58075600,52953720,42540990,51308900,41010770,37432130,45672830,42699150,37233500,50133010,48975150,41312660
"321","sp|Q64010|CRK_MOUSE Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1","sp|Q64010|CRK_MOUSE","34 kDa",11,0.999858032,0,9356536,8579239,6532095,17162010,15787960,8839580,16885050,12993230,11815490,5727160,7878774,12800410,11934330,5236026,8158380,14084570,11809290,6624414,11952150,11369020,7080171,11636060,11465570,7642811,11323890,10033620,6785347,8330370,8107953,5254235,8311112,8098424,5747394,9057152,8521803,6648284
"322","sp|Q9EQH3|VPS35_MOUSE Vacuolar protein sorting-associated protein 35 OS=Mus musculus OX=10090 GN=Vps35 PE=1 SV=1","sp|Q9EQH3|VPS35_MOUSE","92 kDa",23,0.999855639,0,115808800,100787200,94993220,173291100,130793900,125846800,183570300,122736600,95026180,58863550,92658160,112608900,104924500,65528700,73853970,98879270,95059160,77524440,141763200,105109000,85202880,105559600,109007800,105252400,104853300,108064400,103617800,103109600,78427570,83186070,77436990,75181010,95919290,111322800,96654770,108365800
"323","sp|Q9WUZ7|SH3BG_MOUSE SH3 domain-binding glutamic acid-rich protein OS=Mus musculus OX=10090 GN=Sh3bgr PE=1 SV=1","sp|Q9WUZ7|SH3BG_MOUSE","23 kDa",10,0.99985561,0,129568200,113194800,101670000,246492500,231780600,213824800,234971200,162168600,142450700,56792320,99080320,164100500,159805400,68387720,97711120,153440400,154725800,78934330,148286500,144024900,87981860,111299300,124922800,84619540,125731000,118674700,89358450,114751200,110092500,88227380,110037100,96987190,81516820,103206800,76852460,74097400
"324","sp|Q6ZPJ3|UBE2O_MOUSE (E3-independent) E2 ubiquitin-conjugating enzyme UBE2O OS=Mus musculus OX=10090 GN=Ube2o PE=1 SV=3","sp|Q6ZPJ3|UBE2O_MOUSE","141 kDa",19,0.999854174,0,5812938,6143096,5606256,6766859,5797144,4080210,7211491,6262513,5414206,3395064,4369305,5066378,5771550,2515309,3566528,4829050,4341955,3495436,4838768,5101987,4291686,4714350,5021316,4585936,6530446,5775360,7655879,7631432,10726110,8091483,10350610,7992494,7270785,7285473,6272849,5981547
"325","sp|Q8BK64|AHSA1_MOUSE Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2","sp|Q8BK64|AHSA1_MOUSE","38 kDa",14,0.999853625,0,17238890,19464580,18023870,26110680,24049020,22192740,26724050,22070950,21475650,13618960,17371170,20111760,18948550,14496220,16881940,21663240,22313880,19755460,20234620,21653370,18934450,15566180,13516590,18064500,18642060,20608610,17733410,13671780,17157880,16116710,16271910,18282310,16306610,16692310,19556740,18032750
"326","sp|Q8CDN6|TXNL1_MOUSE Thioredoxin-like protein 1 OS=Mus musculus OX=10090 GN=Txnl1 PE=1 SV=3","sp|Q8CDN6|TXNL1_MOUSE","32 kDa",10,0.999852887,0,26906380,22503230,16484830,63882760,44096770,36318840,71572050,31243180,27425090,11354930,16770090,31904010,27893180,14411950,18655880,25454980,29698950,17398180,28253000,27355530,18387350,25490580,26177300,17991700,27605200,24733430,17595140,22345800,20092320,15407720,22676500,18253350,15864890,23163150,20135420,18821490
"327","sp|Q04447|KCRB_MOUSE Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1","sp|Q04447|KCRB_MOUSE","43 kDa",14,0.999852674,0,111768400,96452290,85570940,146438800,131653800,80599350,127076100,165507500,168749900,80831720,117244100,139022000,129075700,73793340,97382530,136804300,132242300,94319970,124647900,122014500,86827400,150542500,139953200,102860800,123849900,123538300,91764780,104685800,110233500,85897680,96249700,96872040,83829900,101338700,92872960,74858290
"328","sp|Q8BIW1|PRUN1_MOUSE Exopolyphosphatase PRUNE1 OS=Mus musculus OX=10090 GN=Prune1 PE=1 SV=1","sp|Q8BIW1|PRUN1_MOUSE","50 kDa",10,0.999852338,0,5092082,5003090,3445611,16605140,10174500,6778005,20178070,7032833,5900889,2698956,3592506,6795576,6317721,2510175,4278733,7323608,6362831,3461263,5099758,5306343,2619496,5926074,6068009,4360635,5350202,4954074,3036596,3773361,3153315,2678206,4071193,3658491,3241756,4482002,4072910,2864202
"329","sp|O89017|LGMN_MOUSE Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1","sp|O89017|LGMN_MOUSE","49 kDa",2,0.99985225,0,874571.6,464484,269268.7,874531.2,837304.7,179217.8,558043.9,486235,593833.9,732546.6,619336.1,758841.8,785538.3,198838.5,543607.9,373132.2,696210.4,301177,905203.2,931212.9,245577.8,1047750,1255535,1187397,1120382,575917.5,871573.1,569512.4,384116.6,492620,395240.9,660379,863641.8,816794.3,834797.7,335689
"330","sp|Q8BZF8|PGM5_MOUSE Phosphoglucomutase-like protein 5 OS=Mus musculus OX=10090 GN=Pgm5 PE=1 SV=2","sp|Q8BZF8|PGM5_MOUSE","62 kDa",21,0.999852227,0,153106200,138144700,120118800,275438900,223543200,161123900,256337200,170169100,159449900,69034550,112203600,181894300,171907300,88437930,127511600,158669300,168451100,99613720,156117300,159779000,98562010,170438400,177347100,124805400,153769600,145571800,104003900,127931800,119716100,92879590,125089100,108345800,86625820,126892900,118440300,93052200
"331","sp|P70663|SPRL1_MOUSE SPARC-like protein 1 OS=Mus musculus OX=10090 GN=Sparcl1 PE=1 SV=3","sp|P70663|SPRL1_MOUSE","72 kDa",5,0.999851882,0,368490.1,479735.8,1053849,419788.2,217954.1,424728.9,208560.2,421342.9,401033.7,553707.5,664435.8,326208.6,218649.2,944716,608568.4,533296,305883.9,841168.3,329408.3,456844.2,473105.2,525789.4,345436.9,817878.4,326923.9,642561.5,481018,368738.6,411603.5,349489.5,399039.2,508802.4,416620.4,309634.9,530715.9,614423.6
"332","sp|Q8VDQ8|SIR2_MOUSE NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=2","sp|Q8VDQ8|SIR2_MOUSE","43 kDa",4,0.999851479,0,3440534,2967701,2191898,6377071,5005524,4826850,5647997,3592956,3478208,1291988,1662477,3639113,3809791,1927736,3022042,3767069,3965044,2444018,3288211,3276081,2446859,3770532,4018716,2985441,3441634,3778456,2438076,2812200,2655767,1727787,3081501,2456423,2112862,3578711,2956715,1917959
"333","tr|G5E895|G5E895_MOUSE Aldo-keto reductase family 1, member B10 (aldose reductase) OS=Mus musculus OX=10090 GN=Akr1b10 PE=1 SV=1","tr|G5E895|G5E895_MOUSE","36 kDa",10,0.999850904,0,39299850,37601600,23464870,77881820,66877450,63827020,81439260,43464000,39463810,9405781,19777100,47902320,46747700,14501460,21886710,31848250,34486280,12442530,39951000,40074010,19284750,39487480,45982580,23751100,42208190,39905590,23626360,38191850,34632820,21780030,39195480,34904240,23341810,36742550,33551870,21544920
"334","sp|Q8CAQ8|MIC60_MOUSE MICOS complex subunit Mic60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1","sp|Q8CAQ8|MIC60_MOUSE","84 kDa",38,0.999850069,0,1044280000,1017193000,883929900,1797039000,1502456000,1320763000,1920355000,1057726000,965439400,489149600,730804100,1138574000,1057122000,639445200,790841400,933371700,982225800,689118700,1025313000,1031066000,783386700,1321822000,1404871000,1129698000,1111169000,1173422000,975502200,1035166000,1079416000,904720300,1171810000,1037530000,928206700,1224461000,1134369000,1061297000
"335","sp|P61089|UBE2N_MOUSE Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1","sp|P61089|UBE2N_MOUSE","17 kDa",8,0.99985002,0,179010000,168254400,147398200,325770500,289370600,248722900,338096200,202733200,192092400,70577250,132616000,223795100,207391800,97471530,146611200,219469600,221971000,126500100,183349200,192943800,120065500,184833200,199578000,145750000,182525700,180437100,131266700,167619700,154027800,120324100,156413700,149010800,117369500,175215800,153607300,129333100
"336","sp|Q9D6J5|NDUB8_MOUSE NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb8 PE=1 SV=1","sp|Q9D6J5|NDUB8_MOUSE","22 kDa",6,0.999849651,0,112089400,103898500,102933600,245760200,174124900,101933100,234039600,146429500,126205200,73835570,87664430,162106600,144836200,109061600,120675500,125884400,114041000,113444800,136456000,141032600,138260900,129792000,139191900,120258600,107892100,114507800,109959100,99490420,118188900,108495100,122178900,88448320,103528600,110766100,112384400,110189200
"337","sp|Q8BJY1|PSMD5_MOUSE 26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus OX=10090 GN=Psmd5 PE=1 SV=4","sp|Q8BJY1|PSMD5_MOUSE","56 kDa",8,0.999849425,0,8424373,7306012,4850795,11126600,9013414,4186016,8503017,9619529,7838935,2777573,4885522,8502765,8331184,3703872,3960793,7586286,7452771,3591638,7831872,6890097,4404243,8364630,7413263,4895762,8287548,7563498,5132473,7234537,6382205,4617286,7070748,6516357,4268008,6749399,6051788,4463219
"338","sp|P97372|PSME2_MOUSE Proteasome activator complex subunit 2 OS=Mus musculus OX=10090 GN=Psme2 PE=1 SV=4","sp|P97372|PSME2_MOUSE","27 kDa",10,0.999847479,0,33016470,32052490,26478630,75391800,65484460,73951430,89646190,48756940,43317980,20773380,30776470,42746530,39509510,22906270,28998410,32003010,34017060,23342300,36477300,34968180,28061850,44643950,45320170,39513200,33673370,33164200,28364960,28913970,29473480,25336050,31256630,29033650,25599820,31753910,29888550,29011980
"339","sp|Q8CGK3|LONM_MOUSE Lon protease homolog, mitochondrial OS=Mus musculus OX=10090 GN=Lonp1 PE=1 SV=2","sp|Q8CGK3|LONM_MOUSE","106 kDa",24,0.999847351,0,125112500,126389600,112505900,180609900,166306800,145462600,184237900,132558600,124687900,64130700,97625010,139822900,131612800,81245730,104582400,113089400,129841900,90352910,129339900,135349100,101655700,149363300,156744500,127969700,139559400,140351400,121101300,114846500,114555100,99228170,119365400,113119200,103754600,152056500,148977100,135509100
"340","sp|P62196|PRS8_MOUSE 26S proteasome regulatory subunit 8 OS=Mus musculus OX=10090 GN=Psmc5 PE=1 SV=1","sp|P62196|PRS8_MOUSE","46 kDa",18,0.999847339,0,26184110,25989410,22711230,53524470,41148150,35117700,54696480,34796870,31549150,20295970,22386670,34460160,32071640,25491030,25379240,32562930,31917070,24432210,30750630,33559650,26697190,28730080,26062560,25312950,26004960,27332260,24842400,22746170,23809540,21111460,23981670,22665470,22606600,21885170,26967580,24329180
"341","sp|P52503|NDUS6_MOUSE NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs6 PE=1 SV=2","sp|P52503|NDUS6_MOUSE","13 kDa",8,0.999846929,0,72386690,73938520,58304590,239468600,175968400,172113200,245687300,102130700,81297750,35244780,50509260,105011600,99540360,44622780,65330710,93428010,86824830,45076800,89546340,92917330,61467460,88473960,87140940,72687740,60321720,71294020,46916510,65163650,54757410,38138590,56309080,54714500,46154960,69100600,63709820,62452030
"342","sp|P38060|HMGCL_MOUSE Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcl PE=1 SV=2","sp|P38060|HMGCL_MOUSE","34 kDa",9,0.999845013,0,8424946,7813638,6545600,22950200,18656400,12153970,22374750,12757610,12551490,3473846,6327975,13919110,12936560,4837785,8019902,12618220,11844830,5450829,11938040,11559380,7189331,12278460,12990830,6538898,10070150,8098976,4898009,7106847,5892317,4814037,7785027,7182767,5487074,8968941,7905332,5135630
"343","sp|Q9WTQ5|AKA12_MOUSE A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1","sp|Q9WTQ5|AKA12_MOUSE","181 kDa",24,0.999844135,0,7597197,7584470,6627862,18198780,13104230,15694790,17776290,9104531,8189117,4088439,6163174,10934110,8957190,5515450,6325738,9824545,8704456,6479508,7039832,7717149,5514960,10852110,11312610,8189360,8263279,9107021,7130999,7059415,6471822,5935933,6389041,6000155,5124466,7245985,6029106,5892459
"344","sp|Q9R111|GUAD_MOUSE Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1","sp|Q9R111|GUAD_MOUSE","51 kDa",11,0.999844049,0,14723120,15814250,16428690,20350480,15493510,17525190,24900900,25333110,19870190,13867910,18301890,11363730,10132000,7251691,8934030,11437470,9960234,8596636,16362850,16127680,13240020,11708240,11373190,11533920,15905350,15572390,13779550,26223670,23204840,23096760,23780690,25065970,22996990,18263450,17078270,17701480
"345","sp|Q9D023|MPC2_MOUSE Mitochondrial pyruvate carrier 2 OS=Mus musculus OX=10090 GN=Mpc2 PE=1 SV=1","sp|Q9D023|MPC2_MOUSE","14 kDa",7,0.999843861,0,49488990,50271800,31964420,68638360,54665080,33679430,49360810,49314710,36539150,13757990,22292310,46974860,39467800,26781360,29559550,42162710,34785250,16215060,45162700,41646620,29833050,45888070,39972590,31765560,34445100,35434290,28273950,29197800,34029800,23952460,36105890,32577700,30106060,38516310,40331130,36748320
"346","sp|Q9D0M5|DYL2_MOUSE Dynein light chain 2, cytoplasmic OS=Mus musculus OX=10090 GN=Dynll2 PE=1 SV=1","sp|Q9D0M5|DYL2_MOUSE","10 kDa",4,0.999843793,0,18155710,18760750,14961130,34154150,27441320,24065370,41930220,22784720,20565490,9410636,14244130,24088840,20086540,10669200,14392140,22746270,18533840,13749780,20089960,20548240,14546570,17719410,17898970,14842380,15439520,13799430,13965120,13209690,12219340,11689190,11452530,12213810,11485290,15904660,13603130,14503050
"347","sp|Q3UHZ5|LMOD2_MOUSE Leiomodin-2 OS=Mus musculus OX=10090 GN=Lmod2 PE=1 SV=1","sp|Q3UHZ5|LMOD2_MOUSE","62 kDa",10,0.999843683,0,9368306,8417614,9433747,20807720,15459510,15529650,21874410,10873950,9362682,5439518,7663641,13431580,13187110,7755568,9033962,13171440,13059380,10073610,10256590,9119388,7766271,9549528,10919180,8203201,7814993,7467408,5181348,6498345,5941978,4454265,6281885,5541424,4383850,5431998,4852511,4683781
"348","sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1","sp|P68134|ACTS_MOUSE","42 kDa",19,0.99984198,0,1107374,1704904,1234544,3282137,2912176,1564658,2164353,1486462,822170.4,664654.7,615048.6,1000574,1590424,712225.9,2085692,4572723,6240610,4289331,713289.4,27150560,1017237,421054.3,633391.8,391336,1478902,604123.9,762430.5,1032578,959775.4,575967.4,1167531,352738.6,574308.5,842457.6,709024.6,277802.8
"349","sp|Q9DB77|QCR2_MOUSE Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc2 PE=1 SV=1","sp|Q9DB77|QCR2_MOUSE","48 kDa",18,0.99984183,0,1563499000,1591267000,1460268000,2607701000,2261317000,1857303000,2871217000,1673241000,1569856000,928649100,1259004000,1995018000,1903686000,1226568000,1569315000,1601134000,1635023000,1304638000,1743813000,1738827000,1418398000,2001653000,1920658000,1883383000,1671713000,1611919000,1539930000,1332737000,1442389000,1278548000,1589731000,1493915000,1415126000,1606029000,1647573000,1569556000
"350","sp|P62737|ACTA_MOUSE Actin, aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1","sp|P62737|ACTA_MOUSE","42 kDa",20,0.99984172,0,166694400,194052000,154726200,246318300,330845100,172654900,277362400,196280100,224515300,115152800,176008200,258448800,276436900,209892800,235627400,258989100,266725500,234523200,192993000,290971800,206541900,188719600,229392100,188405700,149962800,163519200,130736200,128704700,132164800,110560000,145542400,123123100,133923800,133027500,134954700,114908500
"351","sp|P42227|STAT3_MOUSE Signal transducer and activator of transcription 3 OS=Mus musculus OX=10090 GN=Stat3 PE=1 SV=2","sp|P42227|STAT3_MOUSE","88 kDa",14,0.999840784,0,9970695,9926325,7501890,18698350,16137110,13848510,24324930,12079140,11317310,5196360,8939398,11536020,10593590,5932135,7611708,10978140,12181690,8454302,9501711,9948638,6586664,14919790,15999670,13104460,11088270,10831350,8256912,8043103,7291771,6221283,8912329,7944339,7422108,10893720,9867300,9210414
"352","sp|Q9Z1F9|SAE2_MOUSE SUMO-activating enzyme subunit 2 OS=Mus musculus OX=10090 GN=Uba2 PE=1 SV=1","sp|Q9Z1F9|SAE2_MOUSE","71 kDa",5,0.999840426,0,903725.6,931923.7,743530.5,1891218,1435961,903809.9,1918936,1373294,1119344,1672853,820835.4,1653558,1775016,792810.6,1180870,1015441,1310838,1195706,1300280,847685.2,1180156,1178794,1283189,892425.6,862586.1,1203565,3081505,712548.9,1430477,2654849,2848599,1026918,1279552,3834193,2117195,1882163
"353","tr|E9PZF0|E9PZF0_MOUSE Nucleoside diphosphate kinase OS=Mus musculus OX=10090 GN=Gm20390 PE=3 SV=1","tr|E9PZF0|E9PZF0_MOUSE","30 kDa",14,0.999839839,0,426571200,415819700,421678000,853408800,700342100,721591900,1036952000,465274600,434181700,264399900,384185000,537190500,491814200,274913800,375616100,409996900,425593500,309201800,422147700,407694100,317879200,503851900,517880500,444912300,433725200,469931200,407460500,380964900,357210500,322786200,358785100,344612200,327087300,430577500,388217500,390905300
"354","sp|Q80TM9|NISCH_MOUSE Nischarin OS=Mus musculus OX=10090 GN=Nisch PE=1 SV=2","sp|Q80TM9|NISCH_MOUSE","175 kDa",6,0.999839608,0,178744.1,299841.3,179043.8,555058.8,689227.7,467219.4,693406.1,272672.8,273880.8,48657.84,226591.5,391782.7,302651.1,155428.7,204217.3,411409.7,312805.6,267229.7,172102,304748.5,284634.5,406326.2,278850,3109913,1125666,344425.7,209429.5,258844.7,191330.9,340852.5,119916.7,248936,136973.9,207766,312031.8,144392.9
"355","sp|O54724|CAVN1_MOUSE Caveolae-associated protein 1 OS=Mus musculus OX=10090 GN=Cavin1 PE=1 SV=1","sp|O54724|CAVN1_MOUSE","44 kDa",11,0.999838991,0,56696060,55637310,46000760,115168500,92808240,97167640,139482200,74256540,66465690,30508490,46014910,71009270,67902280,36153180,50627080,83597910,77813270,48544560,81789810,76966970,58335840,49895620,51065660,36935650,51951900,45561640,39801700,43156570,41297510,33431440,47002720,46466760,39297950,48098630,48307580,41311750
"356","sp|Q91VI7|RINI_MOUSE Ribonuclease inhibitor OS=Mus musculus OX=10090 GN=Rnh1 PE=1 SV=1","sp|Q91VI7|RINI_MOUSE","50 kDa",16,0.99983897,0,70233340,65844150,56939050,161931200,119074800,86851240,166384600,84955240,78456860,41081930,58036340,92647980,92682680,45172270,52804570,77227010,82390090,51546730,73121110,77980310,52986870,77559000,77262550,54576920,71430120,69330490,51868000,61172430,52626880,45515190,56806540,55702710,44714150,57838880,57372740,43423460
"357","sp|Q921M7|FA49B_MOUSE Protein FAM49B OS=Mus musculus OX=10090 GN=Fam49b PE=1 SV=1","sp|Q921M7|FA49B_MOUSE","37 kDa",8,0.99983845,0,1221495,1300902,1227813,2387097,2451406,621890,1629852,2169340,1831520,705268.3,1175538,1910261,1393307,892164,4336266,1708101,1755206,1194007,1680323,1563294,1110315,1346035,2552786,1228374,1296217,1635517,1431457,1321836,1158883,1332661,1523506,1043687,1213930,2084009,1325973,1343311
"358","sp|P23953|EST1C_MOUSE Carboxylesterase 1C OS=Mus musculus OX=10090 GN=Ces1c PE=1 SV=4","sp|P23953|EST1C_MOUSE","61 kDa",15,0.999838084,0,59617790,66540170,85312120,60336890,64269910,68599790,82582720,39936570,38193070,33906050,40473530,71294410,68480060,62326400,63137270,47604400,53529640,49833420,66245740,72807790,60255130,73331510,64442540,85992140,87763430,84948990,106529400,73499580,94210160,98703770,77601940,91629670,86278690,73814490,91168850,80417170
"359","sp|P29391|FRIL1_MOUSE Ferritin light chain 1 OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=2","sp|P29391|FRIL1_MOUSE","21 kDa",10,0.999837006,0,126880400,122985900,107686400,227822900,185391300,132758400,256168900,184214800,173831500,86499130,123037200,133751600,130814900,72522960,89891210,133292400,149126400,89221300,119664100,118460600,79083970,108143000,115365900,92622460,129988200,116758200,94800770,98470940,92504460,72107230,109983500,103464300,81691270,130181300,117094800,96822270
"360","sp|Q91Z83|MYH7_MOUSE Myosin-7 OS=Mus musculus OX=10090 GN=Myh7 PE=2 SV=1","sp|Q91Z83|MYH7_MOUSE","223 kDa",101,0.999836944,0,20277660,7032879,5032952,8285564,13046050,19749260,6934084,4882487,2108410,932776.5,2316559,6208400,6883708,81461440,25445950,42555420,45838420,32225750,3322685,2724785,7612268,4632301,6317541,32670510,2556213,24030010,17831590,2196974,4329387,1956445,2374983,16704120,19944940,13656990,23756920,29651870
"361","sp|Q00898|A1AT5_MOUSE Alpha-1-antitrypsin 1-5 OS=Mus musculus OX=10090 GN=Serpina1e PE=1 SV=1","sp|Q00898|A1AT5_MOUSE","46 kDa",14,0.999836938,0,69014620,68536250,80398810,68333680,53492040,74689170,77676780,25466330,19562050,11662920,21603030,7486421,4940890,3488991,8104455,28007610,34938520,23735750,89558730,75573130,57271730,47918990,53544100,65421290,69327670,73049610,56666940,134268900,99372410,91654120,127513300,105928500,119296500,119641500,106493200,130716400
